player_id,player_name,positions,teams,n_matches,date_of_birth,height_cm,nationality,data_source
228686,David OSPINA,GK,Colombia,5,,,,api.fifa.com
430657,David RAUM,DEF,Germany,4,,,,api.fifa.com
447853,David RAYA,GK,Spain,8,,,,api.fifa.com
433755,David Zima,DEF,Czechia,3,,,,api.fifa.com
386013,Davinson SANCHEZ,DEF,Colombia,5,,,,api.fifa.com
441255,Dayne ST. CLAIR,GK,Canada,5,,,,api.fifa.com
389876,Dayot UPAMECANO,DEF,France,8,,,,api.fifa.com
403046,Dean Henderson,GK,England,8,,,,api.fifa.com
433097,Declan RICE,MID,England,8,,,,api.fifa.com
394376,Deiver MACHADO,DEF,Colombia,5,,,,api.fifa.com
441068,Dejan LJUBICIC,MID,Austria,4,,,,api.fifa.com
463476,Denil CASTILLO,MID,Ecuador,4,,,,api.fifa.com
519985,Denis VISINSKY,FWD,Czechia,3,,,,api.fifa.com
401448,Denis ZAKARIA,MID,Switzerland,6,,,,api.fifa.com
495347,Deniz GUL,FWD,Türkiye,3,,,,api.fifa.com
484851,Deniz UNDAV,FWD,Germany,4,,,,api.fifa.com
519837,Dennis DARGAHI,FWD,IR Iran,3,,,,api.fifa.com
430194,Dennis HADZIKADUNIC,DEF,Bosnia and Herzegovina,4,,,,api.fifa.com
436612,Denzel DUMFRIES,DEF,Netherlands,4,,,,api.fifa.com
371958,Derek CORNELIUS,DEF,Canada,5,,,,api.fifa.com
466865,Derrick ETIENNE,FWD,Haiti,3,,,,api.fifa.com
520037,Derrick LUCKASSEN,DEF,Ghana,4,,,,api.fifa.com
464114,Desire DOUE,FWD,France,8,,,,api.fifa.com
506471,Deveron FONVILLE,DEF,Curaçao,3,,,,api.fifa.com
463128,Diego GOMEZ,MID,Paraguay,4,,,,api.fifa.com
497902,Diego MOREIRA,MID,Belgium,6,,,,api.fifa.com
506329,Djed SPENCE,DEF,England,8,,,,api.fifa.com
411226,Djibril SOW,MID,Switzerland,6,,,,api.fifa.com
448377,Dodi LUKEBAKIO,FWD,Belgium,6,,,,api.fifa.com
484073,Dominic HYAM,DEF,Scotland,3,,,,api.fifa.com
448179,Dominik KOTARSKI,GK,Croatia,4,,,,api.fifa.com
369029,Dominik LIVAKOVIC,GK,Croatia,4,,,,api.fifa.com
523215,Dominique SIMON,MID,Haiti,3,,,,api.fifa.com
433066,Donyell Malen,FWD,Netherlands,4,,,,api.fifa.com
371393,Dostonbek Khamdamov,MID,Uzbekistan,3,,,,api.fifa.com
394993,Duckens NAZON,FWD,Haiti,3,,,,api.fifa.com
372424,Duje CALETA-CAR,DEF,Croatia,4,,,,api.fifa.com
477829,Dylan BATUBINSIKA,DEF,Congo DR,4,,,,api.fifa.com
411653,Dylan BRONN,DEF,Tunisia,3,,,,api.fifa.com
389886,Dzenis BURNIC,MID,Bosnia and Herzegovina,4,,,,api.fifa.com
395427,EDERSON,GK,Brazil,5,,,,api.fifa.com
485069,EDERSON SILVA,MID,Brazil,5,,,,api.fifa.com
429063,EDMILSON JUNIOR,FWD,Qatar,3,,,,api.fifa.com
389437,EHSAN HADDAD,DEF,Jordan,3,,,,api.fifa.com
430482,EMAM ASHOUR,MID,Egypt,5,,,,api.fifa.com
463746,ENDRICK,FWD,Brazil,5,,,,api.fifa.com
423855,EOM Jisung,MID,Korea Republic,3,,,,api.fifa.com
473113,Eberechi EZE,MID,England,8,,,,api.fifa.com
400416,Edgar Yoel BARCENAS,MID,Panama,3,,,,api.fifa.com
480313,Edgardo FARINA,DEF,Panama,3,,,,api.fifa.com
300409,Edin DZEKO,FWD,Bosnia and Herzegovina,4,,,,api.fifa.com
433161,Edo Kayembe,MID,Congo DR,4,,,,api.fifa.com
433806,Edouard MENDY,GK,Senegal,2,,,,api.fifa.com
400634,Edson ALVAREZ,DEF,Mexico,5,,,,api.fifa.com
483535,Egil SELVIK,GK,Norway,6,,,,api.fifa.com
288961,Ehsan HAJISAFI,DEF,IR Iran,3,,,,api.fifa.com
