match_id,player_id,player_name,team,opponent_team,starter,minutes_played,saves,shots_faced,goals_conceded_on_pitch,clean_sheet,penalty_saves,punches,high_claims,errors,data_source
37,499803,Mike PENDERS,Belgium,IR Iran,0,0,,,,,,,,,api.fifa.com
37,380007,Alireza BEIRANVAND,IR Iran,Belgium,1,90,,,0,1,,,,,api.fifa.com
37,448507,Payam NIAZMAND,IR Iran,Belgium,0,0,,,,,,,,,api.fifa.com
37,314255,Hossein HOSSEINI,IR Iran,Belgium,0,0,,,,,,,,,api.fifa.com
40,229498,Fernando MUSLERA,Uruguay,Cabo Verde,1,93,,,2,0,,,,,api.fifa.com
40,368664,Sergio ROCHET,Uruguay,Cabo Verde,0,0,,,,,,,,,api.fifa.com
40,402897,Santiago MELE,Uruguay,Cabo Verde,0,0,,,,,,,,,api.fifa.com
40,364752,VOZINHA,Cabo Verde,Uruguay,1,93,,,2,0,,,,,api.fifa.com
40,407114,MARCIO ROSA,Cabo Verde,Uruguay,0,0,,,,,,,,,api.fifa.com
40,406281,CJ DOS SANTOS,Cabo Verde,Uruguay,0,0,,,,,,,,,api.fifa.com
38,368535,Max CROCOMBE,New Zealand,Egypt,1,99,,,3,0,,,,,api.fifa.com
38,423574,Alex PAULSEN,New Zealand,Egypt,0,0,,,,,,,,,api.fifa.com
38,390218,Michael WOUD,New Zealand,Egypt,0,0,,,,,,,,,api.fifa.com
38,416906,MOSTAFA SHOUBIR,Egypt,New Zealand,1,99,,,1,0,,,,,api.fifa.com
38,408948,MOHAMED ELSHENAWY,Egypt,New Zealand,0,0,,,,,,,,,api.fifa.com
38,395860,MAHDY SOLIMAN,Egypt,New Zealand,0,0,,,,,,,,,api.fifa.com
38,512079,MOHAMED ALAA,Egypt,New Zealand,0,0,,,,,,,,,api.fifa.com
43,308300,Emiliano MARTINEZ,Argentina,Austria,1,95,,,0,1,,,,,api.fifa.com
43,430624,Juan MUSSO,Argentina,Austria,0,0,,,,,,,,,api.fifa.com
43,394824,Geronimo RULLI,Argentina,Austria,0,0,,,,,,,,,api.fifa.com
43,371739,Alexander SCHLAGER,Austria,Argentina,1,95,,,2,0,,,,,api.fifa.com
43,520034,Florian WIEGELE,Austria,Argentina,0,0,,,,,,,,,api.fifa.com
43,441065,Patrick PENTZ,Austria,Argentina,0,0,,,,,,,,,api.fifa.com
41,448332,Mike MAIGNAN,France,Iraq,1,91,,,0,1,,,,,api.fifa.com
41,483471,Brice SAMBA,France,Iraq,0,0,,,,,,,,,api.fifa.com
41,464127,Robin RISSER,France,Iraq,0,0,,,,,,,,,api.fifa.com
41,433571,AHMED BASIL,Iraq,France,1,91,,,3,0,,,,,api.fifa.com
41,368744,FAHAD TALIB,Iraq,France,0,0,,,,,,,,,api.fifa.com
41,347085,JALAL HASSAN,Iraq,France,0,0,,,,,,,,,api.fifa.com
42,373235,Orjan NYLAND,Norway,Senegal,1,93,,,2,0,,,,,api.fifa.com
42,514479,Sander TANGVIK,Norway,Senegal,0,0,,,,,,,,,api.fifa.com
42,483535,Egil SELVIK,Norway,Senegal,0,0,,,,,,,,,api.fifa.com
42,433806,Edouard MENDY,Senegal,Norway,1,63,,,3,0,,,,,api.fifa.com
42,494277,Yehvann DIOUF,Senegal,Norway,0,0,,,,,,,,,api.fifa.com
42,448821,Mory DIAW,Senegal,Norway,0,30,,,0,1,,,,,api.fifa.com
44,397894,YAZEED ABULAILA,Jordan,Algeria,1,91,,,2,0,,,,,api.fifa.com
44,483127,NOUR BANIATEYAH,Jordan,Algeria,0,0,,,,,,,,,api.fifa.com
44,431223,ABDALLAH ALFAKHORI,Jordan,Algeria,0,0,,,,,,,,,api.fifa.com
