event_id,match_id,minute,added_time,team,player_id,player_name,event_type,event_subtype,related_player_id,description,data_source
773,45,,,Uzbekistan,479106,Akmal MOZGOVOY,Substitution,substitution,371345,IN: Akmal MOZGOVOY / OUT: Odiljon XAMROBEKOV,api.fifa.com
774,45,73,,Uzbekistan,368546,Igor Sergeev,Substitution,substitution,464933,IN: Igor Sergeev / OUT: Abbosbek FAYZULLAEV,api.fifa.com
775,45,90,2,Uzbekistan,484303,Ruslanbek JIYANOV,Substitution,substitution,475260,IN: Ruslanbek JIYANOV / OUT: Behruzjon KARIMOV,api.fifa.com
776,45,90,2,Uzbekistan,464897,Sherzod ESANOV,Substitution,substitution,371348,IN: Sherzod ESANOV / OUT: Otabek Shukurov,api.fifa.com
777,47,41,,England,433097,Declan RICE,Yellow Card,,,,api.fifa.com
778,47,60,,Ghana,411376,Inaki WILLIAMS,Yellow Card,,,,api.fifa.com
779,47,65,,England,448196,Bukayo SAKA,Substitution,substitution,448189,IN: Bukayo SAKA / OUT: Anthony GORDON,api.fifa.com
780,47,65,,England,463780,Nico OREILLY,Substitution,substitution,506329,IN: Nico OREILLY / OUT: Djed SPENCE,api.fifa.com
781,47,74,,England,492716,Morgan ROGERS,Substitution,substitution,448202,IN: Morgan ROGERS / OUT: Jude BELLINGHAM,api.fifa.com
782,47,74,,England,473113,Eberechi EZE,Substitution,substitution,481610,IN: Eberechi EZE / OUT: Elliot ANDERSON,api.fifa.com
783,47,83,,England,401470,Marcus RASHFORD,Substitution,substitution,489732,IN: Marcus RASHFORD / OUT: Noni MADUEKE,api.fifa.com
784,47,66,,Ghana,441342,Abdul FATAWU,Substitution,substitution,411376,IN: Abdul FATAWU / OUT: Inaki WILLIAMS,api.fifa.com
785,47,66,,Ghana,514401,Prince ADU,Substitution,substitution,353235,IN: Prince ADU / OUT: Jordan AYEW,api.fifa.com
786,47,87,,Ghana,511022,Kojo Peprah OPPONG,Substitution,substitution,520039,IN: Kojo Peprah OPPONG / OUT: Marvin SENAYA,api.fifa.com
787,47,90,5,Ghana,367536,Baba RAHMAN,Substitution,substitution,514401,IN: Baba RAHMAN / OUT: Prince ADU,api.fifa.com
788,48,54,,Croatia,430070,Ante BUDIMIR,Goal,open_play,433667,,api.fifa.com
789,48,54,,Croatia,433667,Josip STANISIC,Assist,assist,430070,assist attributed via sofascore.com,sofascore.com
790,48,61,,Panama,400416,Edgar Yoel BARCENAS,Yellow Card,,,,api.fifa.com
791,48,90,2,Croatia,485066,Petar SUCIC,Yellow Card,,,,api.fifa.com
792,48,77,,Panama,337251,Cecilio Waterman,Substitution,substitution,480310,IN: Cecilio Waterman / OUT: Jiovany RAMOS,api.fifa.com
793,48,83,,Panama,466669,Azarias LONDONO,Substitution,substitution,411174,IN: Azarias LONDONO / OUT: Jose FAJARDO,api.fifa.com
794,48,90,,Panama,337232,Eric DAVIS,Substitution,substitution,441242,IN: Eric DAVIS / OUT: Cesar BLACKMAN,api.fifa.com
795,48,90,,Panama,418747,Tomas RODRIGUEZ,Substitution,substitution,400416,IN: Tomas RODRIGUEZ / OUT: Edgar Yoel BARCENAS,api.fifa.com
796,48,,,Croatia,430070,Ante BUDIMIR,Substitution,substitution,389754,IN: Ante BUDIMIR / OUT: Petar Musa,api.fifa.com
797,48,,,Croatia,336472,Andrej KRAMARIC,Substitution,substitution,448180,IN: Andrej KRAMARIC / OUT: Josko GVARDIOL,api.fifa.com
798,48,72,,Croatia,485066,Petar SUCIC,Substitution,substitution,339987,IN: Petar SUCIC / OUT: Mateo KOVACIC,api.fifa.com
799,48,72,,Croatia,448160,Luka SUCIC,Substitution,substitution,482931,IN: Luka SUCIC / OUT: Marco PASALIC,api.fifa.com
800,48,81,,Croatia,380005,Mario PASALIC,Substitution,substitution,241559,IN: Mario PASALIC / OUT: Luka MODRIC,api.fifa.com
801,46,76,,Colombia,431200,Daniel MUNOZ,Goal,open_play,356704,,api.fifa.com
802,46,76,,Colombia,356704,Juan QUINTERO,Assist,assist,431200,assist attributed via sofascore.com,sofascore.com
803,46,56,,Colombia,441622,Jhon LUCUMI,Yellow Card,,,,api.fifa.com
804,46,90,4,Colombia,395550,Jefferson LERMA,Yellow Card,,,,api.fifa.com
805,46,90,3,Congo DR,448128,Charles PICKEL,Yellow Card,,,,api.fifa.com
806,46,58,,Colombia,356704,Juan QUINTERO,Substitution,substitution,269058,IN: Juan QUINTERO / OUT: James RODRIGUEZ,api.fifa.com
807,46,58,,Colombia,369530,Jhon CORDOBA,Substitution,substitution,428905,IN: Jhon CORDOBA / OUT: Luis SUAREZ,api.fifa.com
808,46,77,,Colombia,473050,Richard RIOS,Substitution,substitution,470760,IN: Richard RIOS / OUT: Jhon ARIAS,api.fifa.com
809,46,,,Congo DR,486147,Noah SADIKI,Substitution,substitution,494458,IN: Noah SADIKI / OUT: Ngalayel MUKAU,api.fifa.com
