match_id;player_id;player_name;team;opponent_team;starter;minutes_played;saves;shots_faced;goals_conceded_on_pitch;clean_sheet;penalty_saves;punches;data_source
60;558;Keisuke OSAKO;Japan;Sweden;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
60;569;Tomoki HAYAKAWA;Japan;Sweden;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
60;573;Jacob WIDELL ZETTERSTROM;Sweden;Japan;1;90;2;0;1;0;0;0;api.fifa.com+espn.com
60;584;Viktor JOHANSSON;Sweden;Japan;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
60;595;Kristoffer NORDFELDT;Sweden;Japan;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
56;350;Orlando GILL;Paraguay;Australia;1;92;5;0;0;1;0;0;api.fifa.com+espn.com
56;339;Gatito FERNANDEZ;Paraguay;Australia;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
56;360;Gaston OLVEIRA;Paraguay;Australia;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
56;382;Patrick BEACH;Australia;Paraguay;1;92;2;0;0;1;0;0;api.fifa.com+espn.com
56;365;Mathew RYAN;Australia;Paraguay;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
56;376;Paul Izzo;Australia;Paraguay;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
55;413;Ugurcan CAKIR;Türkiye;USA;1;98;5;0;2;0;0;0;api.fifa.com+espn.com
55;391;Mert GUNOK;Türkiye;USA;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
55;402;Altay BAYINDIR;Türkiye;USA;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
55;313;Matt TURNER;USA;Türkiye;1;98;0;0;3;0;0;0;api.fifa.com+espn.com
55;336;Matt FREESE;USA;Türkiye;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
55;337;Chris BRADY;USA;Türkiye;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
66;881;Mory DIAW;Senegal;Iraq;1;90;1;0;0;1;0;0;api.fifa.com+espn.com
66;859;Yehvann DIOUF;Senegal;Iraq;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
66;906;AHMED BASIL;Iraq;Senegal;1;90;1;0;5;0;0;1;api.fifa.com+espn.com
66;885;FAHAD TALIB;Iraq;Senegal;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
66;896;JALAL HASSAN;Iraq;Senegal;0;44;0;0;0;0;0;1;api.fifa.com+derived-known-zero
65;923;Egil SELVIK;Norway;France;1;94;5;0;4;0;0;0;api.fifa.com+espn.com
65;911;Orjan NYLAND;Norway;France;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
65;922;Sander TANGVIK;Norway;France;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
65;848;Mike MAIGNAN;France;Norway;1;94;3;0;1;0;0;0;api.fifa.com+espn.com
65;833;Brice SAMBA;France;Norway;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
65;855;Robin RISSER;France;Norway;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
63;829;Fernando MUSLERA;Uruguay;Spain;1;94;0;0;1;0;0;0;api.fifa.com+espn.com
63;807;Sergio ROCHET;Uruguay;Spain;0;44;0;0;0;0;0;0;api.fifa.com+derived-known-zero
63;818;Santiago MELE;Uruguay;Spain;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
63;751;Unai SIMON;Spain;Uruguay;1;94;2;0;0;1;0;0;api.fifa.com+espn.com
63;729;David RAYA;Spain;Uruguay;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
63;741;Joan GARCIA;Spain;Uruguay;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
64;755;VOZINHA;Cabo Verde;Saudi Arabia;1;94;3;0;0;1;0;0;api.fifa.com+espn.com
64;766;MARCIO ROSA;Cabo Verde;Saudi Arabia;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
64;777;CJ DOS SANTOS;Cabo Verde;Saudi Arabia;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
64;801;MOHAMMED ALOWAIS;Saudi Arabia;Cabo Verde;1;94;2;0;0;1;0;0;api.fifa.com+espn.com
64;781;NAWAF ALAQIDI;Saudi Arabia;Cabo Verde;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
64;802;AHMED ALKASSAR;Saudi Arabia;Cabo Verde;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
61;703;Max CROCOMBE;New Zealand;Belgium;1;94;5;0;5;0;0;1;api.fifa.com+espn.com
61;714;Alex PAULSEN;New Zealand;Belgium;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
61;724;Michael WOUD;New Zealand;Belgium;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
61;625;Thibaut COURTOIS;Belgium;New Zealand;1;94;1;0;1;0;0;0;api.fifa.com+espn.com
61;636;Senne LAMMENS;Belgium;New Zealand;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
61;637;Mike PENDERS;Belgium;New Zealand;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
62;673;MOSTAFA SHOUBIR;Egypt;IR Iran;1;94;2;0;1;0;0;0;api.fifa.com+espn.com
62;651;MOHAMED ELSHENAWY;Egypt;IR Iran;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
62;666;MAHDY SOLIMAN;Egypt;IR Iran;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
62;676;MOHAMED ALAA;Egypt;IR Iran;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
62;677;Alireza BEIRANVAND;IR Iran;Egypt;1;94;2;0;1;0;0;1;api.fifa.com+espn.com
62;688;Payam NIAZMAND;IR Iran;Egypt;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
62;698;Hossein HOSSEINI;IR Iran;Egypt;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
71;1244;Orlando MOSQUERA;Panama;England;1;90;4;0;2;0;0;0;api.fifa.com+espn.com
71;1223;Luis MEJIA;Panama;England;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
71;1234;Cesar SAMUDIO;Panama;England;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
71;1145;Jordan PICKFORD;England;Panama;1;90;2;0;0;1;0;1;api.fifa.com+espn.com
71;1157;Dean Henderson;England;Panama;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
71;1167;James TRAFFORD;England;Panama;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
72;1171;Dominik LIVAKOVIC;Croatia;Ghana;1;94;0;0;1;0;0;0;api.fifa.com+espn.com
72;1182;Ivor PANDUR;Croatia;Ghana;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
72;1193;Dominik KOTARSKI;Croatia;Ghana;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
72;1212;Benjamin ASARE;Ghana;Croatia;1;94;2;0;2;0;0;0;api.fifa.com+espn.com
72;1197;Lawrence Ati ZIGI;Ghana;Croatia;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
72;1208;Joseph ANANG;Ghana;Croatia;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
70;1067;Lionel MPASI;Congo DR;Uzbekistan;1;91;1;0;1;0;0;0;api.fifa.com+espn.com
70;1082;Timothy FAYULU;Congo DR;Uzbekistan;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
70;1087;Matthieu EPOLO;Congo DR;Uzbekistan;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
70;1104;Abduvohid NEMATOV;Uzbekistan;Congo DR;1;91;1;0;3;0;0;0;api.fifa.com+espn.com
70;1093;Utkir YUSUPOV;Uzbekistan;Congo DR;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
70;1108;Botirali ERGASHEV;Uzbekistan;Congo DR;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
69;1130;Camilo VARGAS;Colombia;Portugal;1;92;2;0;0;1;0;0;api.fifa.com+espn.com
69;1119;David OSPINA;Colombia;Portugal;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
