player_id,player_name,position,team,nationality,matches,minutes,total_goals,goals_p90,total_assists,assists_p90,total_shots,shots_p90,total_shots_on_target,shots_on_target_p90,total_passes,passes_p90,total_accurate_passes,accurate_passes_p90,total_crosses,crosses_p90,total_tackles,tackles_p90,total_interceptions,interceptions_p90,total_clearances,clearances_p90,total_blocks,blocks_p90,total_recoveries,recoveries_p90,total_duels_won,duels_won_p90,total_aerial_duels_won,aerial_duels_won_p90,total_dribbles_attempted,dribbles_attempted_p90,total_fouls_committed,fouls_committed_p90,total_fouls_won,fouls_won_p90,total_offsides,offsides_p90,pass_accuracy_pct,cluster,cluster_label,saves,shots_faced,conceded,clean_sheets,starts,save_pct,saves_p90
531,Cody Mathès Gakpo,FWD,Netherlands,Netherlands,4,371,3.0,0.728,1.0,0.243,10.0,2.426,6.0,1.456,100.0,24.259,79.0,19.164,10.0,2.426,4.0,0.97,1.0,0.243,3.0,0.728,4.0,0.97,4.0,0.97,8.0,1.941,8.0,1.941,15.0,3.639,3.0,0.728,3.0,0.728,3.0,0.728,79.0,0,Finisher / Goal Scorer,,,,,,,
500,Willian Joel Pacho,DEF,Ecuador,Ecuador,4,370,0.0,0.0,0.0,0.0,1.0,0.243,1.0,0.243,238.0,57.892,217.0,52.784,0.0,0.0,7.0,1.703,3.0,0.73,16.0,3.892,13.0,3.162,29.0,7.054,13.0,3.162,12.0,2.919,6.0,1.459,3.0,0.73,2.0,0.486,0.0,0.0,91.18,1,Ball Progressor,,,,,,,
509,Pedro Jeampierre Vite,MID,Ecuador,Ecuador,4,370,0.0,0.0,1.0,0.243,4.0,0.973,1.0,0.243,297.0,72.243,269.0,65.432,7.0,1.703,26.0,6.324,5.0,1.216,6.0,1.459,5.0,1.216,22.0,5.351,5.0,1.216,5.0,1.216,5.0,1.216,2.0,0.486,5.0,1.216,0.0,0.0,90.57,1,Ball Progressor,,,,,,,
517,Moisés Isaac Caicedo,MID,Ecuador,Ecuador,4,370,0.0,0.0,1.0,0.243,4.0,0.973,1.0,0.243,295.0,71.757,264.0,64.216,16.0,3.892,18.0,4.378,3.0,0.73,9.0,2.189,10.0,2.432,22.0,5.351,4.0,0.973,3.0,0.73,4.0,0.973,5.0,1.216,4.0,0.973,0.0,0.0,89.49,3,Box-to-Box / All-rounder,,,,,,,
513,Gonzalo Jordy Plata,FWD,Ecuador,Ecuador,4,370,1.0,0.243,0.0,0.0,8.0,1.946,5.0,1.216,147.0,35.757,118.0,28.703,9.0,2.189,11.0,2.676,2.0,0.486,1.0,0.243,9.0,2.189,12.0,2.919,3.0,0.73,3.0,0.73,23.0,5.595,5.0,1.216,4.0,0.973,0.0,0.0,80.27,2,Playmaker / Chance Creator,,,,,,,
840,Aurélien Djani Tchouameni,MID,France,France,4,370,0.0,0.0,1.0,0.243,3.0,0.73,0.0,0.0,254.0,61.784,239.0,58.135,2.0,0.486,24.0,5.838,3.0,0.73,11.0,2.676,13.0,3.162,23.0,5.595,9.0,2.189,9.0,2.189,1.0,0.243,4.0,0.973,3.0,0.73,0.0,0.0,94.09,1,Ball Progressor,,,,,,,
574,Gustaf Johan Lagerbielke,DEF,Sweden,Sweden,4,369,0.0,0.0,0.0,0.0,3.0,0.732,1.0,0.244,206.0,50.244,173.0,42.195,1.0,0.244,13.0,3.171,2.0,0.488,29.0,7.073,9.0,2.195,26.0,6.341,11.0,2.683,10.0,2.439,2.0,0.488,1.0,0.244,3.0,0.732,1.0,0.244,83.98,1,Ball Progressor,,,,,,,
589,Viktor Einar Gyokeres,FWD,Sweden,Sweden,4,369,1.0,0.244,1.0,0.244,12.0,2.927,6.0,1.463,70.0,17.073,48.0,11.707,1.0,0.244,4.0,0.976,0.0,0.0,4.0,0.976,4.0,0.976,3.0,0.732,11.0,2.683,6.0,1.463,4.0,0.976,4.0,0.976,7.0,1.707,1.0,0.244,68.57,0,Finisher / Goal Scorer,,,,,,,
567,Hiroki Ito,DEF,Japan,Japan,4,368,0.0,0.0,0.0,0.0,1.0,0.245,0.0,0.0,199.0,48.668,178.0,43.533,10.0,2.446,15.0,3.668,2.0,0.489,22.0,5.38,8.0,1.957,16.0,3.913,6.0,1.467,6.0,1.467,2.0,0.489,7.0,1.712,0.0,0.0,0.0,0.0,89.45,3,Box-to-Box / All-rounder,,,,,,,
1070,Axel Tuanzebe,DEF,Congo DR,Congo DR,4,368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,37.908,140.0,34.239,0.0,0.0,5.0,1.223,4.0,0.978,24.0,5.87,9.0,2.201,16.0,3.913,3.0,0.734,3.0,0.734,5.0,1.223,3.0,0.734,3.0,0.734,0.0,0.0,90.32,3,Box-to-Box / All-rounder,,,,,,,
1088,Mangulu Chancel Mbemba,DEF,Congo DR,Congo DR,4,368,0.0,0.0,0.0,0.0,1.0,0.245,0.0,0.0,162.0,39.62,130.0,31.793,4.0,0.978,6.0,1.467,3.0,0.734,23.0,5.625,9.0,2.201,19.0,4.647,6.0,1.467,6.0,1.467,5.0,1.223,1.0,0.245,3.0,0.734,0.0,0.0,80.25,1,Ball Progressor,,,,,,,
1086,Yoane Wissa,FWD,Congo DR,Congo DR,4,368,3.0,0.734,0.0,0.0,11.0,2.69,3.0,0.734,69.0,16.875,60.0,14.674,2.0,0.489,1.0,0.245,0.0,0.0,2.0,0.489,4.0,0.978,6.0,1.467,6.0,1.467,6.0,1.467,8.0,1.957,5.0,1.223,9.0,2.201,1.0,0.245,86.96,0,Finisher / Goal Scorer,,,,,,,
117,Derek Austin Cornelius,DEF,Canada,Canada,4,367,0.0,0.0,0.0,0.0,5.0,1.226,1.0,0.245,170.0,41.689,151.0,37.03,1.0,0.245,9.0,2.207,3.0,0.736,26.0,6.376,9.0,2.207,32.0,7.847,18.0,4.414,18.0,4.414,0.0,0.0,4.0,0.981,3.0,0.736,0.0,0.0,88.82,1,Ball Progressor,,,,,,,
433,Florian Richard Wirtz,MID,Germany,Germany,4,367,0.0,0.0,3.0,0.736,10.0,2.452,1.0,0.245,271.0,66.458,223.0,54.687,12.0,2.943,14.0,3.433,1.0,0.245,1.0,0.245,10.0,2.452,14.0,3.433,2.0,0.49,2.0,0.49,25.0,6.131,1.0,0.245,3.0,0.736,1.0,0.245,82.29,2,Playmaker / Chance Creator,,,,,,,
