player_id,player_name,position,team,nationality,matches,minutes,total_goals,goals_p90,total_assists,assists_p90,total_shots,shots_p90,total_shots_on_target,shots_on_target_p90,total_passes,passes_p90,total_accurate_passes,accurate_passes_p90,total_crosses,crosses_p90,total_tackles,tackles_p90,total_interceptions,interceptions_p90,total_clearances,clearances_p90,total_blocks,blocks_p90,total_recoveries,recoveries_p90,total_duels_won,duels_won_p90,total_aerial_duels_won,aerial_duels_won_p90,total_dribbles_attempted,dribbles_attempted_p90,total_fouls_committed,fouls_committed_p90,total_fouls_won,fouls_won_p90,total_offsides,offsides_p90,pass_accuracy_pct,PC1,PC2,PC3,PC4
268,Martin Yves Roberns Didier Experience,DEF,Haiti,Haiti,3,278,0,0.0,0,0.0,1,0.324,0,0.0,111,35.935,93,30.108,6,1.942,21,6.799,3,0.971,9,2.914,10,3.237,15,4.856,3,0.971,3,0.971,8,2.59,7,2.266,6,1.942,0,0.0,83.78,0.943155899595502,1.0061476103712201,-1.3280411021984033,2.6309239036582883
570,Kaishu Sano,MID,Japan,Japan,3,278,1,0.324,1,0.324,1,0.324,1,0.324,131,42.41,124,40.144,1,0.324,8,2.59,5,1.619,7,2.266,6,1.942,11,3.561,4,1.295,4,1.295,5,1.619,4,1.295,1,0.324,0,0.0,94.66,0.6130417650538883,0.3029391328385526,-0.3097685613736519,-0.7362271671844841
475,Odilon Dorgeless Kossounou,DEF,Côte d'Ivoire,Côte d'Ivoire,4,278,0,0.0,0,0.0,0,0.0,0,0.0,149,48.237,141,45.647,0,0.0,7,2.266,11,3.561,11,3.561,5,1.619,18,5.827,3,0.971,2,0.647,1,0.324,0,0.0,1,0.324,0,0.0,94.63,3.075980969602211,-0.5504297270233144,-0.6240843382302114,-0.9414570104465663
1155,Marcus Rashford,FWD,England,England,5,278,1,0.324,1,0.324,12,3.885,5,1.619,103,33.345,91,29.46,18,5.827,5,1.619,0,0.0,1,0.324,1,0.324,0,0.0,1,0.324,1,0.324,16,5.18,5,1.619,1,0.324,1,0.324,88.35,-4.53453240106045,0.8170711150281429,-1.3173362114290053,-1.484369457449159
1178,Mateo Kovacic,MID,Croatia,Croatia,4,278,0,0.0,0,0.0,5,1.619,4,1.295,208,67.338,198,64.101,0,0.0,10,3.237,2,0.647,2,0.647,6,1.942,8,2.59,1,0.324,1,0.324,9,2.914,3,0.971,3,0.971,0,0.0,95.19,-0.07950353832556521,0.3436478951658368,-1.572879456376531,-1.5342827896792381
471,N'clomande Ghislain Konan,DEF,Côte d'Ivoire,Côte d'Ivoire,3,277,0,0.0,0,0.0,4,1.3,0,0.0,149,48.412,124,40.289,9,2.924,8,2.599,2,0.65,12,3.899,6,1.949,10,3.249,1,0.325,1,0.325,13,4.224,0,0.0,1,0.325,0,0.0,83.22,0.5590226414519359,-0.907336936011832,-1.2403740793371154,-0.4647046372893208
488,Emmanuel Elysee Djedje Agbadou,DEF,Côte d'Ivoire,Côte d'Ivoire,3,277,0,0.0,0,0.0,3,0.975,1,0.325,154,50.036,142,46.137,0,0.0,12,3.899,4,1.3,16,5.199,8,2.599,15,4.874,11,3.574,11,3.574,2,0.65,0,0.0,0,0.0,0,0.0,92.21,2.5565661498489667,1.3997625481582543,1.558015474597388,-0.7553496167812365
889,Hashim Rahman Akam Hashim,DEF,Iraq,Iraq,3,277,0,0.0,0,0.0,1,0.325,0,0.0,148,48.087,126,40.939,0,0.0,7,2.274,2,0.65,22,7.148,13,4.224,17,5.523,2,0.65,2,0.65,10,3.249,0,0.0,3,0.975,0,0.0,85.14,2.234421107429381,-0.30709797811880385,-0.589118651390818,0.1568949896739029
907,Ghazi Salih Merchas,DEF,Iraq,Iraq,3,277,0,0.0,0,0.0,1,0.325,0,0.0,141,45.812,115,37.365,3,0.975,23,7.473,5,1.625,8,2.599,9,2.924,22,7.148,0,0.0,0,0.0,9,2.924,3,0.975,8,2.599,0,0.0,81.56,1.585182946280418,0.5077378220628153,-2.524400365466394,1.8041551829058131
53,Seunggyu Kim,GK,Korea Republic,South Korea,3,276,0,0.0,0,0.0,0,0.0,0,0.0,116,37.826,85,27.717,0,0.0,0,0.0,0,0.0,3,0.978,0,0.0,20,6.522,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,73.28,0.7355603066177286,-3.3126000444917643,0.6495032939600354,-1.0730327299204134
54,Hanbeom Lee,DEF,Korea Republic,South Korea,3,276,0,0.0,0,0.0,2,0.652,0,0.0,200,65.217,183,59.674,2,0.652,8,2.609,3,0.978,16,5.217,7,2.283,21,6.848,13,4.239,13,4.239,3,0.978,7,2.283,2,0.652,0,0.0,91.5,3.249499303563888,2.5883089945728703,1.460626382115819,-0.4643896950916952
55,Gihyuk Lee,MID,Korea Republic,South Korea,3,276,0,0.0,0,0.0,0,0.0,0,0.0,236,76.957,217,70.761,4,1.304,6,1.957,7,2.283,29,9.457,7,2.283,27,8.804,15,4.891,14,4.565,4,1.304,2,0.652,1,0.326,0,0.0,91.95,5.350315454387067,2.9987624485063864,1.3463140726200877,-1.8997226907684057
71,Kangin Lee,MID,Korea Republic,South Korea,3,276,0,0.0,1,0.326,4,1.304,1,0.326,159,51.848,140,45.652,20,6.522,6,1.957,0,0.0,0,0.0,2,0.652,0,0.0,2,0.652,2,0.652,15,4.891,1,0.326,7,2.283,0,0.0,88.05,-2.116601666024957,-0.3662450668869649,-2.4622253080567456,-1.1630994880580976
157,Ibrahim Mahmoud Abunada,GK,Qatar,Qatar,3,276,0,0.0,0,0.0,0,0.0,0,0.0,93,30.326,50,16.304,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,6.522,0,0.0,0,0.0,0,0.0,1,0.326,1,0.326,0,0.0,53.76,0.19145029016874032,-3.361698715090291,0.8111717600862726,-0.4434958274914877
