player_id,player_name,team,position,age,current_value,predicted_post_value,change_abs,change_pct
1022,Mahmoud Ali Noor Alrawabdeh,Jordan,MID,29.0,2477372.0,2486483.0,9111.0,0.4
1066,Francisco Francisco Conceicao,Portugal,FWD,24.0,55985253.0,56180661.0,195408.0,0.3
703,Maxime Teremoana Crocombe,New Zealand,GK,33.0,1000000.0,1003234.0,3234.0,0.3
117,Derek Austin Cornelius,Canada,DEF,29.0,2500000.0,2507599.0,7599.0,0.3
372,Connor Isaac Metcalfe,Australia,MID,27.0,1500000.0,1504354.0,4354.0,0.3
924,Fredrik Aursnes,Norway,MID,31.0,15000000.0,15050451.0,50451.0,0.3
869,Nicolas Jackson,Senegal,FWD,25.0,40000000.0,40127143.0,127143.0,0.3
403,Evren Eren Elmali,Türkiye,DEF,26.0,5000000.0,5013030.0,13030.0,0.3
452,Leandro Jones Johan Bacuna,Curaçao,MID,35.0,900000.0,902696.0,2696.0,0.3
898,Aamar Iqbal Zidane,Iraq,MID,23.0,4486768.0,4502162.0,15394.0,0.3
261,Johny Placide,Haiti,GK,38.0,250000.0,250727.0,727.0,0.3
488,Emmanuel Elysee Djedje Agbadou,Côte d'Ivoire,DEF,29.0,3641636.0,3651349.0,9713.0,0.3
866,Lamine Camara,Senegal,MID,22.0,40000000.0,40124032.0,124032.0,0.3
574,Gustaf Johan Lagerbielke,Sweden,DEF,26.0,10000000.0,10020973.0,20973.0,0.2
1186,Martin Baturina,Croatia,MID,23.0,30000000.0,30051846.0,51846.0,0.2
776,MOREIRASteven Steven,Cabo Verde,DEF,32.0,3956667.0,3963541.0,6874.0,0.2
494,Christ Ravynel Inao Oulai,Côte d'Ivoire,MID,20.0,23000000.0,23055965.0,55965.0,0.2
685,Mehdi Taremi,IR Iran,FWD,34.0,2000000.0,2004534.0,4534.0,0.2
259,Redouane Halhal,Morocco,DEF,23.0,5000000.0,5008498.0,8498.0,0.2
308,Nathan Kenneth Patterson,Scotland,DEF,25.0,10000000.0,10020804.0,20804.0,0.2
985,Luca Zinedine Zidane,Algeria,GK,28.0,1000000.0,1002447.0,2447.0,0.2
377,Aiden Connor Oneill,Australia,MID,28.0,6273594.0,6288959.0,15365.0,0.2
826,Maximiliano Javier Araujo,Uruguay,MID,26.0,15118771.0,15135669.0,16898.0,0.1
1224,Cesar Rodolfo Blackman,Panama,DEF,28.0,3927703.0,3930538.0,2835.0,0.1
1225,Jose Angel Cordoba,Panama,DEF,25.0,6373119.0,6379053.0,5934.0,0.1
955,Nicolas Hernan Gonzalo Otamendi,Argentina,DEF,38.0,1000000.0,1001219.0,1219.0,0.1
1210,Gideon Mensah,Ghana,DEF,28.0,4000000.0,4004989.0,4989.0,0.1
790,Mohammed Salem Aldawsari,Saudi Arabia,FWD,35.0,5551491.0,5558907.0,7416.0,0.1
665,Hafez Ramadan Karim Hafez,Egypt,DEF,30.0,7314242.0,7318044.0,3802.0,0.1
971,Amine Ferid Gouiri,Algeria,FWD,26.0,6320339.0,6324482.0,4143.0,0.1
197,Djibril Ibrahima Sow,Switzerland,MID,29.0,12866209.0,12884382.0,18173.0,0.1
539,Brian Ebenezer Adjei Brobbey,Netherlands,FWD,24.0,30000000.0,30003193.0,3193.0,0.0
473,Wilfried Stephane Singo,Côte d'Ivoire,DEF,26.0,23000000.0,22994592.0,-5408.0,-0.0
1244,Orlando Mosquera,Panama,GK,32.0,700000.0,700146.0,146.0,0.0
1037,Manel Farhan Ehsan Haddad,Jordan,DEF,32.0,2221236.0,2221999.0,763.0,0.0
900,Fouad Aboud Amir Alammari,Iraq,MID,29.0,7581781.0,7580404.0,-1377.0,-0.0
393,Merih Demiral,Türkiye,DEF,28.0,12000000.0,12001362.0,1362.0,0.0
219,Raphael Raphinha,Brazil,FWD,30.0,70000000.0,69986664.0,-13336.0,-0.0
577,Gabriel Johan Gudmundsson,Sweden,DEF,27.0,20000000.0,19992399.0,-7601.0,-0.0
230,MARTINELLIGabriel Gabriel,Brazil,FWD,25.0,40754816.0,40773906.0,19090.0,0.0
991,Kevin Danso,Austria,DEF,28.0,20000000.0,20002111.0,2111.0,0.0
850,Warren Marie Jean-Pierre Zaire-Emery,France,MID,20.0,80000000.0,79972971.0,-27029.0,-0.0
