match_id,match_team_id,metric,source_page,team,team_id,value
2026-M032-USA-AUS,2026-M032-USA-AUS_AUS,goalkeeper_line_breaks,33,Australia,AUS,11
2026-M032-USA-AUS,2026-M032-USA-AUS_AUS,total_distributions,33,Australia,AUS,14
2026-M032-USA-AUS,2026-M032-USA-AUS_AUS,from_hands,33,Australia,AUS,0
2026-M032-USA-AUS,2026-M032-USA-AUS_AUS,under_arm,33,Australia,AUS,4
2026-M033-GER-CIV,2026-M033-GER-CIV_GER,goalkeeper_line_breaks,32,Germany,GER,8
2026-M033-GER-CIV,2026-M033-GER-CIV_GER,total_distributions,32,Germany,GER,19
2026-M033-GER-CIV,2026-M033-GER-CIV_GER,from_hands,32,Germany,GER,0
2026-M033-GER-CIV,2026-M033-GER-CIV_GER,under_arm,32,Germany,GER,5
2026-M033-GER-CIV,2026-M033-GER-CIV_CIV,goalkeeper_line_breaks,33,Côte d'Ivoire,CIV,21
2026-M033-GER-CIV,2026-M033-GER-CIV_CIV,total_distributions,33,Côte d'Ivoire,CIV,30
2026-M033-GER-CIV,2026-M033-GER-CIV_CIV,from_hands,33,Côte d'Ivoire,CIV,7
2026-M033-GER-CIV,2026-M033-GER-CIV_CIV,under_arm,33,Côte d'Ivoire,CIV,3
2026-M034-ECU-CUW,2026-M034-ECU-CUW_ECU,goalkeeper_line_breaks,33,Ecuador,ECU,4
2026-M034-ECU-CUW,2026-M034-ECU-CUW_ECU,total_distributions,33,Ecuador,ECU,13
