appearance_id,blocks,clearances,duels_won_aerial,duels_won_physical,interceptions,loose_ball_receptions,match_id,match_team_id,player_id,player_name,possession_contests_won,possession_interrupted,possession_regains,pressing_direct,pressing_indirect,pushing_on,pushing_on_into_pressing,shirt_number,tackles_made_won,team,team_id,topic
2026-M003-CAN-BIH_BIH_07,7,10,4,0,2,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_amar_dedic,Amar DEDIC,4,11,9,3,21,22,15,7,4 / 1,Bosnia and Herzegovina,BIH,out_of_possession
2026-M003-CAN-BIH_BIH_10,1,3,7,0,0,7,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_ermedin_demirovic,Ermedin DEMIROVIC,7,2,2,3,24,12,10,10,1 / 0,Bosnia and Herzegovina,BIH,out_of_possession
2026-M003-CAN-BIH_BIH_13,0,1,1,0,1,6,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_ivan_basic,Ivan BASIC,1,0,1,4,7,20,5,13,3 / 0,Bosnia and Herzegovina,BIH,out_of_possession
2026-M003-CAN-BIH_BIH_15,4,3,2,0,0,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_amar_memic,Amar MEMIC,2,5,2,0,16,11,6,15,2 / 0,Bosnia and Herzegovina,BIH,out_of_possession
2026-M003-CAN-BIH_BIH_18,5,12,11,0,1,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_nikola_katic,Nikola KATIC,12,7,11,8,5,15,3,18,7 / 1,Bosnia and Herzegovina,BIH,out_of_possession
2026-M003-CAN-BIH_BIH_20,6,4,1,0,2,3,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_esmir_bajraktarevic,Esmir BAJRAKTAREVIC,1,6,6,1,16,30,8,20,2 / 0,Bosnia and Herzegovina,BIH,out_of_possession
2026-M003-CAN-BIH_BIH_25,0,4,9,1,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_jovo_lukic,Jovo LUKIC,10,0,0,2,14,17,11,25,1 / 0,Bosnia and Herzegovina,BIH,out_of_possession
2026-M003-CAN-BIH_BIH_08,0,2,1,0,0,4,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_armin_gigovic,Armin GIGOVIC,2,2,3,3,8,7,2,8,1 / 1,Bosnia and Herzegovina,BIH,out_of_possession
2026-M003-CAN-BIH_BIH_09,0,0,1,0,0,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_samed_bazdar,Samed BAZDAR,2,1,0,2,4,2,2,9,3 / 0,Bosnia and Herzegovina,BIH,out_of_possession
2026-M003-CAN-BIH_BIH_14,1,0,1,0,0,6,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_ivan_sunjic,Ivan SUNJIC,1,0,1,0,6,4,2,14,1 / 0,Bosnia and Herzegovina,BIH,out_of_possession
2026-M003-CAN-BIH_BIH_17,0,0,0,0,0,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_dzenis_burnic,Dzenis BURNIC,0,0,0,0,5,7,3,17,0 / 0,Bosnia and Herzegovina,BIH,out_of_possession
2026-M003-CAN-BIH_BIH_19,0,0,0,0,0,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_kerim_alajbegovic,Kerim ALAJBEGOVIC,0,0,0,0,4,2,1,19,0 / 0,Bosnia and Herzegovina,BIH,out_of_possession
2026-M004-USA-PAR_USA_24,0,0,0,0,0,2,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_matt_freese,Matt FREESE,0,0,3,0,0,0,0,24,0 / 0,USA,USA,out_of_possession
2026-M004-USA-PAR_USA_02,2,0,0,0,0,7,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_sergino_dest,Sergino DEST,2,1,0,0,21,19,14,2,0 / 0,USA,USA,out_of_possession
2026-M004-USA-PAR_USA_03,0,5,5,0,1,4,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_chris_richards,Chris RICHARDS,5,2,6,3,1,11,2,3,1 / 0,USA,USA,out_of_possession
2026-M004-USA-PAR_USA_04,1,10,2,1,1,9,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_tyler_adams,Tyler ADAMS,5,6,11,5,9,17,4,4,3 / 2,USA,USA,out_of_possession
2026-M004-USA-PAR_USA_05,1,3,2,1,0,7,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_antonee_robinson,Antonee ROBINSON,4,2,3,4,14,11,7,5,3 / 0,USA,USA,out_of_possession
2026-M004-USA-PAR_USA_08,0,1,0,0,0,8,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_weston_mckennie,Weston McKENNIE,1,2,1,3,22,22,11,8,2 / 0,USA,USA,out_of_possession
2026-M004-USA-PAR_USA_10,1,0,0,0,0,3,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_christian_pulisic,Christian PULISIC,0,1,0,1,8,4,4,10,1 / 0,USA,USA,out_of_possession
2026-M004-USA-PAR_USA_13,3,5,0,0,1,9,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_tim_ream,Tim REAM,0,4,6,2,1,11,1,13,2 / 0,USA,USA,out_of_possession
2026-M004-USA-PAR_USA_16,2,3,6,0,1,8,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_alex_freeman,Alex FREEMAN,6,3,5,5,7,18,8,16,2 / 1,USA,USA,out_of_possession
2026-M004-USA-PAR_USA_17,3,2,1,0,2,11,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_malik_tillman,Malik TILLMAN,1,0,6,4,22,26,16,17,2 / 1,USA,USA,out_of_possession
2026-M004-USA-PAR_USA_20,1,0,0,1,0,4,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_folarin_balogun,Folarin BALOGUN,1,0,1,2,22,20,13,20,1 / 0,USA,USA,out_of_possession
2026-M004-USA-PAR_USA_07,0,1,1,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_giovanni_reyna,Giovanni REYNA,1,1,0,1,8,3,1,7,0 / 0,USA,USA,out_of_possession
