appearance_id,high_speed_runs_zone3,match_id,match_team_id,player_id,player_name,shirt_number,source_page,sprints_zone4_5,team,team_id,top_speed_kmh,total_distance_m,zone1_0_7_kmh_m,zone2_7_15_kmh_m,zone3_15_20_kmh_m,zone4_20_25_kmh_m,zone5_25_plus_kmh_m
2026-M003-CAN-BIH_CAN_17,69.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_tajon_buchanan,Tajon BUCHANAN,17,50,35.0,Canada,CAN,31.2,7110.9,2537.5,3041.0,800.7,460.2,271.6
2026-M003-CAN-BIH_CAN_22,95.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_richie_laryea,Richie LARYEA,22,50,36.0,Canada,CAN,34.6,9971.5,3996.4,4089.9,1081.4,433.5,370.3
2026-M003-CAN-BIH_CAN_09,21.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_cyle_larin,Cyle LARIN,9,50,10.0,Canada,CAN,31.3,2068.2,823.9,802.0,228.5,144.1,69.7
2026-M003-CAN-BIH_CAN_14,46.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_jacob_shaffelburg,Jacob SHAFFELBURG,14,50,20.0,Canada,CAN,31.6,4045.5,1441.7,1679.6,515.2,227.2,181.7
2026-M003-CAN-BIH_CAN_20,47.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_ali_ahmed,Ali AHMED,20,50,26.0,Canada,CAN,26.6,3903.0,1524.3,1433.9,556.8,312.5,75.6
2026-M003-CAN-BIH_CAN_21,10.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_jonathan_osorio,Jonathan OSORIO,21,50,4.0,Canada,CAN,23.0,644.0,182.7,298.2,123.2,40.0,0.0
2026-M003-CAN-BIH_CAN_24,26.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_promise_david,Promise DAVID,24,50,9.0,Canada,CAN,30.0,3097.9,1676.4,994.4,284.5,112.8,29.8
2026-M003-CAN-BIH_BIH_01,8.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_nikola_vasilj,Nikola VASILJ,1,51,2.0,Bosnia and Herzegovina,BIH,26.3,5298.5,3990.0,1201.2,78.8,17.3,11.3
2026-M003-CAN-BIH_BIH_04,87.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_tarik_muharemovic,Tarik MUHAREMOVIC,4,51,24.0,Bosnia and Herzegovina,BIH,30.7,9823.9,4085.5,4176.9,1112.2,328.4,121.0
2026-M003-CAN-BIH_BIH_05,77.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_sead_kolasinac,Sead KOLASINAC,5,51,32.0,Bosnia and Herzegovina,BIH,32.0,8967.6,3777.8,3618.8,869.7,442.4,259.0
2026-M003-CAN-BIH_BIH_06,143.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_benjamin_tahirovic,Benjamin TAHIROVIC,6,51,35.0,Bosnia and Herzegovina,BIH,28.4,10911.0,4139.6,4376.0,1723.2,595.8,76.5
2026-M003-CAN-BIH_BIH_07,94.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_amar_dedic,Amar DEDIC,7,51,35.0,Bosnia and Herzegovina,BIH,32.5,9525.1,3967.9,3992.5,982.1,408.9,173.7
2026-M003-CAN-BIH_BIH_10,91.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_ermedin_demirovic,Ermedin DEMIROVIC,10,51,43.0,Bosnia and Herzegovina,BIH,33.0,10123.8,4373.2,3826.8,1068.6,640.9,214.4
2026-M003-CAN-BIH_BIH_13,82.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_ivan_basic,Ivan BASIC,13,51,24.0,Bosnia and Herzegovina,BIH,31.2,6984.8,2373.2,3256.0,938.3,279.8,137.6
2026-M003-CAN-BIH_BIH_15,82.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_amar_memic,Amar MEMIC,15,51,45.0,Bosnia and Herzegovina,BIH,33.9,8469.3,3184.3,3156.9,1140.3,539.6,448.2
2026-M003-CAN-BIH_BIH_18,111.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_nikola_katic,Nikola KATIC,18,51,39.0,Bosnia and Herzegovina,BIH,30.3,9950.4,4186.7,3905.5,1286.0,422.8,149.3
2026-M003-CAN-BIH_BIH_20,87.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_esmir_bajraktarevic,Esmir BAJRAKTAREVIC,20,51,36.0,Bosnia and Herzegovina,BIH,34.8,8601.3,3073.1,3844.6,941.8,413.3,328.5
2026-M003-CAN-BIH_BIH_25,79.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_jovo_lukic,Jovo LUKIC,25,51,27.0,Bosnia and Herzegovina,BIH,32.1,6993.3,2732.0,2813.6,930.9,357.3,159.5
2026-M003-CAN-BIH_BIH_08,45.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_armin_gigovic,Armin GIGOVIC,8,51,22.0,Bosnia and Herzegovina,BIH,29.5,3998.3,1360.4,1640.7,544.3,318.0,135.0
2026-M003-CAN-BIH_BIH_09,28.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_samed_bazdar,Samed BAZDAR,9,51,13.0,Bosnia and Herzegovina,BIH,29.8,3649.9,1445.6,1428.9,437.5,213.4,124.5
2026-M003-CAN-BIH_BIH_14,37.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_ivan_sunjic,Ivan SUNJIC,14,51,10.0,Bosnia and Herzegovina,BIH,26.5,2526.1,828.9,1115.3,443.9,108.0,30.1
2026-M003-CAN-BIH_BIH_17,15.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_dzenis_burnic,Dzenis BURNIC,17,51,3.0,Bosnia and Herzegovina,BIH,26.7,1352.0,506.5,631.8,160.1,37.9,15.6
2026-M003-CAN-BIH_BIH_19,25.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_kerim_alajbegovic,Kerim ALAJBEGOVIC,19,51,7.0,Bosnia and Herzegovina,BIH,31.6,2352.7,987.1,980.5,234.3,93.0,57.8
2026-M004-USA-PAR_USA_24,6.0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_matt_freese,Matt FREESE,24,50,1.0,USA,USA,21.5,6296.2,4769.1,1418.9,100.3,7.9,0.0
2026-M004-USA-PAR_USA_02,115.0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_sergino_dest,Sergino DEST,2,50,53.0,USA,USA,32.3,8824.2,2814.7,3949.5,1266.6,580.7,212.8
2026-M004-USA-PAR_USA_03,125.0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_chris_richards,Chris RICHARDS,3,50,21.0,USA,USA,30.6,10829.8,3742.2,5238.2,1571.8,235.9,41.7
2026-M004-USA-PAR_USA_04,136.0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_tyler_adams,Tyler ADAMS,4,50,50.0,USA,USA,30.5,11205.0,3973.8,4855.2,1544.9,726.5,104.7
2026-M004-USA-PAR_USA_05,171.0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_antonee_robinson,Antonee ROBINSON,5,50,57.0,USA,USA,34.0,11927.5,3985.9,5100.5,1925.1,667.8,248.1
2026-M004-USA-PAR_USA_08,149.0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_weston_mckennie,Weston McKENNIE,8,50,63.0,USA,USA,31.7,11832.5,4574.5,4547.8,1618.6,737.3,354.3
