category,from_left_side,from_right_side,match_id,match_team_id,metric,source_page,team,team_id,value
summary,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,total_free_kicks,40,Australia,AUS,7
summary,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,total_penalties,40,Australia,AUS,0
summary,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,total_corners,40,Australia,AUS,5
summary,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,total_throw_ins,40,Australia,AUS,14
corners_delivery_type,5,1,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Direct to Area,41,Türkiye,TUR,6
corners_delivery_type,1,1,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Short,41,Türkiye,TUR,2
corners_delivery_type,0,0,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Edge of Penalty Area,41,Türkiye,TUR,0
corners_delivery_style,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Inswing,41,Türkiye,TUR,5
corners_delivery_style,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Outswing,41,Türkiye,TUR,1
corners_delivery_style,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Driven,41,Türkiye,TUR,0
corners_delivery_style,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Lofted,41,Türkiye,TUR,0
free_kicks,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Direct,41,Türkiye,TUR,12
free_kicks,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Direct (on target),41,Türkiye,TUR,2
free_kicks,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Direct (off target),41,Türkiye,TUR,0
free_kicks,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Indirect,41,Türkiye,TUR,1
summary,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,total_set_plays,41,Türkiye,TUR,45
summary,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,total_free_kicks,41,Türkiye,TUR,13
